Station,Income,
16TH,90364,
 PLZA,87039,
12TH,32993,
19TH,32993,
24TH,90364,
ASHB,65839,
BALB,72545,
BAYF,50726,
CAST,76269,
CIVC,25362,
COLS,31903,
COLM,,
CONC,47048,
DALY,70957,
DBRK,26478,
EMBR,172570,
DELN,87039,
FRMT,96562,
FRMT,39184,
GLEN,101496,
HAYW,61421,
LAFY,137989,
LAKE,35837,
MCAR,58990,
MLBR,93894,
MONT,,
NCON,47048,
NBRK,63196,
ORIN,163772,
PITT,56311,
PHIL,90717,
DUBL,128668,
POWL,43321,
RICH,42761,
ROCK,128931,
SBRN,83888,
SANL,63047,
SHAY,60539,
SSAN,84155,
UCTY,85521,
WCRK,81863,
WARM,145782,
WDUB,116199,
WOAK,35837,
